technique_id,name,phases,platforms,permissions
T1112,Modify Registry,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1170,Mshta,"defense-evasion,execution",Windows,User
T1104,Multi-Stage Channels,command-and-control,"Linux,macOS,Windows",None
T1188,Multi-hop Proxy,command-and-control,"Linux,macOS,Windows",None
T1026,Multiband Communication,command-and-control,"Linux,macOS,Windows",None
T1079,Multilayer Encryption,command-and-control,"Linux,macOS,Windows",None
T1096,NTFS Extended Attributes,defense-evasion,Windows,None
T1128,Netsh Helper DLL,persistence,Windows,"Administrator,SYSTEM"
T1046,Network Service Scanning,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1126,Network Share Connection Removal,defense-evasion,Windows,"User,Administrator"
T1135,Network Share Discovery,discovery,"macOS,Windows",User
T1040,Network Sniffing,credential-access,"Linux,macOS,Windows","Administrator,SYSTEM"
T1050,New Service,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1027,Obfuscated Files or Information,defense-evasion,"Linux,macOS,Windows",None
T1137,Office Application Startup,persistence,Windows,"User,Administrator"
T1075,Pass the Hash,lateral-movement,Windows,None
T1097,Pass the Ticket,lateral-movement,Windows,None
T1174,Password Filter DLL,credential-access,Windows,"Administrator,SYSTEM"
T1034,Path Interception,"persistence,privilege-escalation",Windows,"User,Administrator,SYSTEM"
T1120,Peripheral Device Discovery,discovery,Windows,"User,Administrator,SYSTEM"
T1069,Permission Groups Discovery,discovery,"Linux,Windows,macOS",User
T1150,Plist Modification,"defense-evasion,persistence,privilege-escalation",macOS,"User,Administrator"
T1013,Port Monitors,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1086,PowerShell,execution,Windows,"User,Administrator"
T1145,Private Keys,credential-access,"Linux,Windows,macOS",User
T1057,Process Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1186,Process Doppelgänging,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1093,Process Hollowing,defense-evasion,Windows,User
T1055,Process Injection,"defense-evasion,privilege-escalation","Linux,macOS,Windows","User,Administrator,SYSTEM,root"
T1012,Query Registry,discovery,Windows,"User,Administrator,SYSTEM"
T1163,Rc.common,persistence,"Linux,macOS",root
T1164,Re-opened Applications,persistence,macOS,User
T1108,Redundant Access,"defense-evasion,persistence","Linux,macOS,Windows","User,Administrator,SYSTEM"
T1060,Registry Run Keys / Start Folder,persistence,Windows,"User,Administrator"
T1121,Regsvcs/Regasm,"defense-evasion,execution",Windows,"User,Administrator"
T1117,Regsvr32,"defense-evasion,execution",Windows,"User,Administrator"
T1076,Remote Desktop Protocol,lateral-movement,Windows,"User,Remote Desktop Users"
T1105,Remote File Copy,"command-and-control,lateral-movement","Linux,macOS,Windows",User
T1021,Remote Services,lateral-movement,"Linux,macOS,Windows",None
T1018,Remote System Discovery,discovery,"Linux,macOS,Windows","User,Administrator,SYSTEM"
T1091,Replication Through Removable Media,"lateral-movement,credential-access",Windows,User
T1014,Rootkit,defense-evasion,"Linux,macOS,Windows","Administrator,SYSTEM,root"
T1085,Rundll32,"defense-evasion,execution",Windows,User
T1178,SID-History Injection,privilege-escalation,Windows,"Administrator,SYSTEM"
T1184,SSH Hijacking,lateral-movement,"Linux,macOS","User,root"
T1053,Scheduled Task,"execution,persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1029,Scheduled Transfer,exfiltration,"Linux,macOS,Windows",None
T1113,Screen Capture,collection,"Linux,macOS,Windows",None
T1180,Screensaver,persistence,Windows,User
T1064,Scripting,"defense-evasion,execution","Linux,macOS,Windows",None
T1063,Security Software Discovery,discovery,"macOS,Windows","User,Administrator,SYSTEM"
T1101,Security Support Provider,persistence,Windows,Administrator
T1167,Securityd Memory,credential-access,macOS,root
T1035,Service Execution,execution,Windows,"Administrator,SYSTEM"
T1058,Service Registry Permissions Weakness,"persistence,privilege-escalation",Windows,"Administrator,SYSTEM"
T1166,Setuid and Setgid,privilege-escalation,"Linux,macOS",User
T1051,Shared Webroot,lateral-movement,Windows,None
T1023,Shortcut Modification,persistence,Windows,"User,Administrator"
T1045,Software Packing,defense-evasion,Windows,None
T1153,Source,execution,"Linux,macOS",User
T1151,Space after Filename,"defense-evasion,execution","Linux,macOS",User
T1071,Standard Application Layer Protocol,command-and-control,"Linux,macOS,Windows",None
T1032,Standard Cryptographic Protocol,command-and-control,"Linux,macOS,Windows",None
T1095,Standard Non-Application Layer Protocol,command-and-control,"Linux,macOS,Windows",None
T1165,Startup Items,"persistence,privilege-escalation",macOS,Administrator
T1169,Sudo,privilege-escalation,"Linux,macOS",User
T1019,System Firmware,persistence,Windows,"Administrator,SYSTEM"
T1082,System Information Discovery,discovery,"Linux,macOS,Windows",User
T1016,System Network Configuration Discovery,discovery,"Linux,macOS,Windows",User
T1049,System Network Connections Discovery,discovery,"Linux,macOS,Windows","User,Administrator"
T1033,System Owner/User Discovery,discovery,"Linux,macOS,Windows","User,Administrator"
T1007,System Service Discovery,discovery,Windows,"User,Administrator,SYSTEM"
T1124,System Time Discovery,discovery,Windows,User
T1080,Taint Shared Content,lateral-movement,Windows,None
T1072,Third-party Software,"execution,lateral-movement","Linux,Windows,macOS","Administrator,SYSTEM,User"
T1099,Timestomp,defense-evasion,"Linux,Windows","User,Administrator,SYSTEM"
T1154,Trap,"execution,persistence","Linux,macOS","User,Administrator"
T1127,Trusted Developer Utilities,"defense-evasion,execution",Windows,User
T1111,Two-Factor Authentication Interception,credential-access,"Linux,macOS,Windows","Administrator,SYSTEM"
T1065,Uncommonly Used Port,command-and-control,"Linux,macOS,Windows",None
T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation","Linux,macOS,Windows","User,Administrator"
T1125,Video Capture,collection,Windows,User
T1102,Web Service,command-and-control,"Linux,macOS,Windows",User
T1100,Web Shell,"persistence,privilege-escalation","Linux,macOS,Windows",None
T1077,Windows Admin Shares,lateral-movement,Windows,Administrator
T1047,Windows Management Instrumentation,execution,Windows,"User,Administrator"
T1084,Windows Management Instrumentation Event Subscription,persistence,Windows,"Administrator,SYSTEM"
T1028,Windows Remote Management,"execution,lateral-movement",Windows,"User,Administrator"
T1004,Winlogon Helper DLL,persistence,Windows,"Administrator,SYSTEM"
T1003.008,/etc/passwd and /etc/shadow,credential-access,Linux,root
T1557.002,ARP Cache Poisoning,"credential-access,collection","Linux,Windows,macOS",User
T1558.004,AS-REP Roasting,credential-access,Windows,User
T1548,Abuse Elevation Control Mechanism,"privilege-escalation,defense-evasion","Linux,macOS,Windows","Administrator,User"
T1134,Access Token Manipulation,"defense-evasion,privilege-escalation",Windows,"User,Administrator"
T1546.008,Accessibility Features,"privilege-escalation,persistence",Windows,Administrator
T1531,Account Access Removal,impact,"Linux,macOS,Windows","User,Administrator,root,SYSTEM"
T1087,Account Discovery,discovery,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",User
T1098,Account Manipulation,persistence,"Windows,Azure AD,Office 365,IaaS,Linux,macOS,Google Workspace",None
T1583,Acquire Infrastructure,resource-development,PRE,None
T1595,Active Scanning,reconnaissance,PRE,None
T1547.014,Active Setup,"persistence,privilege-escalation",Windows,Administrator
T1098.003,Add Office 365 Global Administrator Role,persistence,Office 365,Administrator
T1137.006,Add-ins,persistence,"Windows,Office 365","Administrator,User"
T1098.001,Additional Cloud Credentials,persistence,"IaaS,Azure AD","Administrator,User"
T1557,Adversary-in-the-Middle,"credential-access,collection","Windows,macOS,Linux",User
T1546.009,AppCert DLLs,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM"
T1546.010,AppInit DLLs,"privilege-escalation,persistence",Windows,Administrator
T1059.002,AppleScript,execution,macOS,User
T1550.001,Application Access Token,"defense-evasion,lateral-movement","Office 365,SaaS,Google Workspace",None
T1499.003,Application Exhaustion Flood,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1071,Application Layer Protocol,command-and-control,"Linux,macOS,Windows",None
T1546.011,Application Shimming,"privilege-escalation,persistence",Windows,Administrator
T1010,Application Window Discovery,discovery,"macOS,Windows",User
T1499.004,Application or System Exploitation,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1560,Archive Collected Data,collection,"Linux,macOS,Windows",None
T1560.003,Archive via Custom Method,collection,"Linux,macOS,Windows",None
T1560.002,Archive via Library,collection,"Linux,macOS,Windows",None
T1560.001,Archive via Utility,collection,"Linux,macOS,Windows",None
T1573.002,Asymmetric Cryptography,command-and-control,"Linux,macOS,Windows",None
T1055.004,Asynchronous Procedure Call,"defense-evasion,privilege-escalation",Windows,None
T1053.001,At (Linux),"execution,persistence,privilege-escalation",Linux,None
T1053.002,At (Windows),"execution,persistence,privilege-escalation",Windows,Administrator
T1123,Audio Capture,collection,"Linux,macOS,Windows",User
T1547.002,Authentication Package,"persistence,privilege-escalation",Windows,Administrator
T1119,Automated Collection,collection,"Linux,macOS,Windows",User
T1020,Automated Exfiltration,exfiltration,"Linux,macOS,Windows,Network",None
T1197,BITS Jobs,"defense-evasion,persistence",Windows,"User,Administrator,SYSTEM"
T1552.003,Bash History,credential-access,"Linux,macOS",User
T1102.002,Bidirectional Communication,command-and-control,"Linux,macOS,Windows",User
T1027.001,Binary Padding,defense-evasion,"Linux,macOS,Windows",None
T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation","Linux,macOS,Windows","User,Administrator,root"
T1037,Boot or Logon Initialization Scripts,"persistence,privilege-escalation","macOS,Windows,Linux",None
T1542.003,Bootkit,"persistence,defense-evasion","Linux,Windows","Administrator,SYSTEM"
T1583.005,Botnet,resource-development,PRE,None
T1584.005,Botnet,resource-development,PRE,None
T1217,Browser Bookmark Discovery,discovery,"Linux,Windows,macOS",User
T1176,Browser Extensions,persistence,"Linux,macOS,Windows",User
T1185,Browser Session Hijacking,collection,Windows,"Administrator,SYSTEM"
T1110,Brute Force,credential-access,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers",User
T1612,Build Image on Host,defense-evasion,Containers,"User,root"
T1591.002,Business Relationships,reconnaissance,PRE,None
T1548.002,Bypass User Account Control,"privilege-escalation,defense-evasion",Windows,"Administrator,User"
T1596.004,CDNs,reconnaissance,PRE,None
T1218.003,CMSTP,defense-evasion,Windows,User
T1574.012,COR_PROFILER,"persistence,privilege-escalation,defense-evasion",Windows,"User,Administrator"
T1003.005,Cached Domain Credentials,credential-access,Windows,SYSTEM
T1546.001,Change Default File Association,"privilege-escalation,persistence",Windows,"Administrator,SYSTEM,User"
T1070.003,Clear Command History,defense-evasion,"Linux,macOS,Windows",User
T1070.002,Clear Linux or Mac System Logs,defense-evasion,"Linux,macOS",None
T1070.001,Clear Windows Event Logs,defense-evasion,Windows,Administrator
T1592.004,Client Configurations,reconnaissance,PRE,None
T1115,Clipboard Data,collection,"Linux,Windows,macOS",None
T1136.003,Cloud Account,persistence,"Azure AD,Office 365,IaaS,Google Workspace",Administrator
T1087.004,Cloud Account,discovery,"Azure AD,Office 365,SaaS,IaaS,Google Workspace",User
T1078.004,Cloud Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Azure AD,Office 365,SaaS,IaaS,Google Workspace","User,Administrator"
T1069.003,Cloud Groups,discovery,"Azure AD,Office 365,SaaS,IaaS,Google Workspace",User
T1580,Cloud Infrastructure Discovery,discovery,IaaS,User
T1552.005,Cloud Instance Metadata API,credential-access,IaaS,None
T1538,Cloud Service Dashboard,discovery,"Azure AD,Office 365,IaaS,Google Workspace",User
T1526,Cloud Service Discovery,discovery,"Azure AD,Office 365,SaaS,IaaS,Google Workspace",User
T1619,Cloud Storage Object Discovery,discovery,IaaS,None
T1213.003,Code Repositories,collection,SaaS,User
T1553.002,Code Signing,defense-evasion,"macOS,Windows",None
T1587.002,Code Signing Certificates,resource-development,PRE,None
T1588.003,Code Signing Certificates,resource-development,PRE,None
T1553.006,Code Signing Policy Modification,defense-evasion,"Windows,macOS",Administrator
T1059,Command and Scripting Interpreter,execution,"Linux,macOS,Windows,Network",User
T1092,Communication Through Removable Media,command-and-control,"Linux,macOS,Windows",None
T1027.004,Compile After Delivery,defense-evasion,"Linux,macOS,Windows",User
T1218.001,Compiled HTML File,defense-evasion,Windows,User
T1542.002,Component Firmware,"persistence,defense-evasion",Windows,SYSTEM
T1559.001,Component Object Model,execution,Windows,None
T1546.015,Component Object Model Hijacking,"privilege-escalation,persistence",Windows,User
T1586,Compromise Accounts,resource-development,PRE,None
T1554,Compromise Client Software Binary,persistence,"Linux,macOS,Windows",None
T1195.003,Compromise Hardware Supply Chain,initial-access,"Linux,macOS,Windows",None
T1584,Compromise Infrastructure,resource-development,PRE,None
T1195.001,Compromise Software Dependencies and Development Tools,initial-access,"Linux,macOS,Windows",None
T1195.002,Compromise Software Supply Chain,initial-access,"Linux,macOS,Windows",None
T1213.001,Confluence,collection,SaaS,User
T1552.007,Container API,credential-access,Containers,"User,Administrator"
T1609,Container Administration Command,execution,Containers,None
T1053.007,Container Orchestration Job,"execution,persistence,privilege-escalation",Containers,User
T1613,Container and Resource Discovery,discovery,Containers,User
T1218.002,Control Panel,defense-evasion,Windows,"User,Administrator,SYSTEM"
T1136,Create Account,persistence,"Windows,Azure AD,Office 365,IaaS,Linux,macOS,Google Workspace",Administrator
T1578.002,Create Cloud Instance,defense-evasion,IaaS,User
T1134.002,Create Process with Token,"defense-evasion,privilege-escalation",Windows,None
T1578.001,Create Snapshot,defense-evasion,IaaS,User
T1543,Create or Modify System Process,"persistence,privilege-escalation","Windows,macOS,Linux",None
T1056.004,Credential API Hooking,"collection,credential-access",Windows,"Administrator,SYSTEM"
T1110.004,Credential Stuffing,credential-access,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers",User
T1589.001,Credentials,reconnaissance,PRE,None
T1552.001,Credentials In Files,credential-access,"Windows,IaaS,Linux,macOS,Containers","Administrator,SYSTEM,User"
T1555,Credentials from Password Stores,credential-access,"Linux,macOS,Windows",Administrator
T1555.003,Credentials from Web Browsers,credential-access,"Linux,macOS,Windows",User
T1552.002,Credentials in Registry,credential-access,Windows,"Administrator,User"
T1053.003,Cron,"execution,persistence,privilege-escalation","Linux,macOS",User
T1003.006,DCSync,credential-access,Windows,Administrator
T1574.001,DLL Search Order Hijacking,"persistence,privilege-escalation,defense-evasion",Windows,None
T1574.002,DLL Side-Loading,"persistence,privilege-escalation,defense-evasion",Windows,None
T1071.004,DNS,command-and-control,"Linux,macOS,Windows",None
T1590.002,DNS,reconnaissance,PRE,None
T1568.003,DNS Calculation,command-and-control,"Linux,macOS,Windows",None
T1583.002,DNS Server,resource-development,PRE,None
T1584.002,DNS Server,resource-development,PRE,None
T1596.001,DNS/Passive DNS,reconnaissance,PRE,None
T1485,Data Destruction,impact,"Windows,IaaS,Linux,macOS","User,Administrator,root,SYSTEM"
T1132,Data Encoding,command-and-control,"Linux,macOS,Windows",User
T1486,Data Encrypted for Impact,impact,"Linux,macOS,Windows,IaaS","User,Administrator,root,SYSTEM"
T1565,Data Manipulation,impact,"Linux,macOS,Windows","User,Administrator,root,SYSTEM"
T1001,Data Obfuscation,command-and-control,"Linux,macOS,Windows",None
T1074,Data Staged,collection,"Windows,IaaS,Linux,macOS",None
T1030,Data Transfer Size Limits,exfiltration,"Linux,macOS,Windows",None
T1530,Data from Cloud Storage Object,collection,IaaS,User
T1602,Data from Configuration Repository,collection,Network,Administrator
T1213,Data from Information Repositories,collection,"Linux,Windows,macOS,SaaS,Office 365,Google Workspace,IaaS",User
T1005,Data from Local System,collection,"Linux,macOS,Windows",None
T1039,Data from Network Shared Drive,collection,"Linux,macOS,Windows",None
T1025,Data from Removable Media,collection,"Linux,macOS,Windows",None
T1102.001,Dead Drop Resolver,command-and-control,"Linux,macOS,Windows",User
T1491,Defacement,impact,"Windows,IaaS,Linux,macOS",None
T1078.001,Default Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers","Administrator,User"
T1578.003,Delete Cloud Instance,defense-evasion,IaaS,User
T1140,Deobfuscate/Decode Files or Information,defense-evasion,"Windows,Linux,macOS",User
T1610,Deploy Container,"defense-evasion,execution",Containers,"User,root"
T1591.001,Determine Physical Locations,reconnaissance,PRE,None
T1587,Develop Capabilities,resource-development,PRE,None
T1587.003,Digital Certificates,resource-development,PRE,None
T1588.004,Digital Certificates,resource-development,PRE,None
T1596.003,Digital Certificates,reconnaissance,PRE,None
T1498.001,Direct Network Flood,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace",None
T1006,Direct Volume Access,defense-evasion,Windows,Administrator
T1562.008,Disable Cloud Logs,defense-evasion,IaaS,User
T1600.002,Disable Crypto Hardware,defense-evasion,Network,Administrator
T1562.002,Disable Windows Event Logging,defense-evasion,Windows,Administrator
T1562.007,Disable or Modify Cloud Firewall,defense-evasion,IaaS,User
T1562.004,Disable or Modify System Firewall,defense-evasion,"Linux,macOS,Windows",None
T1562.001,Disable or Modify Tools,defense-evasion,"Windows,macOS,Linux,Containers,IaaS","User,Administrator"
T1561.001,Disk Content Wipe,impact,"Linux,macOS,Windows","SYSTEM,root,Administrator,User"
T1561.002,Disk Structure Wipe,impact,"Linux,macOS,Windows","User,Administrator,root,SYSTEM"
T1561,Disk Wipe,impact,"Linux,macOS,Windows","User,root,SYSTEM,Administrator"
T1021.003,Distributed Component Object Model,lateral-movement,Windows,"Administrator,SYSTEM"
T1136.002,Domain Account,persistence,"Windows,macOS,Linux",Administrator
T1087.002,Domain Account,discovery,"Linux,macOS,Windows",User
T1078.002,Domain Accounts,"defense-evasion,persistence,privilege-escalation,initial-access","Linux,macOS,Windows","User,Administrator"
T1556.001,Domain Controller Authentication,"credential-access,defense-evasion,persistence",Windows,Administrator
T1090.004,Domain Fronting,command-and-control,"Linux,macOS,Windows",None
T1568.002,Domain Generation Algorithms,command-and-control,"Linux,macOS,Windows",User
T1069.002,Domain Groups,discovery,"Linux,macOS,Windows",User
T1484,Domain Policy Modification,"defense-evasion,privilege-escalation","Windows,Azure AD","Administrator,User"
T1590.001,Domain Properties,reconnaissance,PRE,None
T1482,Domain Trust Discovery,discovery,Windows,User
T1484.002,Domain Trust Modification,"defense-evasion,privilege-escalation","Windows,Azure AD",Administrator
T1583.001,Domains,resource-development,PRE,None
T1584.001,Domains,resource-development,PRE,None
T1036.007,Double File Extension,defense-evasion,Windows,None
T1562.010,Downgrade Attack,defense-evasion,"Windows,Linux,macOS",User
T1601.002,Downgrade System Image,defense-evasion,Network,Administrator
T1189,Drive-by Compromise,initial-access,"Windows,Linux,macOS,SaaS",User
T1608.004,Drive-by Target,resource-development,PRE,None
T1574.004,Dylib Hijacking,"persistence,privilege-escalation,defense-evasion",macOS,None
T1559.002,Dynamic Data Exchange,execution,Windows,User
T1574.006,Dynamic Linker Hijacking,"persistence,privilege-escalation,defense-evasion","Linux,macOS",User
T1568,Dynamic Resolution,command-and-control,"Linux,macOS,Windows",User
T1055.001,Dynamic-link Library Injection,"defense-evasion,privilege-escalation",Windows,User
T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion",macOS,"Administrator,User"
T1087.003,Email Account,discovery,"Windows,Office 365,Google Workspace",User
T1585.002,Email Accounts,resource-development,PRE,None
T1586.002,Email Accounts,resource-development,PRE,None
T1589.002,Email Addresses,reconnaissance,PRE,None
T1114,Email Collection,collection,"Windows,Office 365,Google Workspace,macOS,Linux",User
T1114.003,Email Forwarding Rule,collection,"Office 365,Windows,Google Workspace,macOS,Linux",User
T1564.008,Email Hiding Rules,defense-evasion,"Windows,Office 365,Linux,macOS",User
T1546.014,Emond,"privilege-escalation,persistence",macOS,Administrator
T1589.003,Employee Names,reconnaissance,PRE,None
T1573,Encrypted Channel,command-and-control,"Linux,macOS,Windows",None
T1499,Endpoint Denial of Service,impact,"Windows,Azure AD,Office 365,SaaS,IaaS,Linux,macOS,Google Workspace,Containers",None
T1480.001,Environmental Keying,defense-evasion,"Linux,macOS,Windows",User
T1611,Escape to Host,privilege-escalation,"Windows,Linux,Containers","Administrator,User,root"
T1585,Establish Accounts,resource-development,PRE,None
T1546,Event Triggered Execution,"privilege-escalation,persistence","Linux,macOS,Windows",None
T1098.002,Exchange Email Delegate Permissions,persistence,"Windows,Office 365",Administrator
T1574.005,Executable Installer File Permissions Weakness,"persistence,privilege-escalation,defense-evasion",Windows,"Administrator,User"
T1480,Execution Guardrails,defense-evasion,"Linux,macOS,Windows",User
T1048,Exfiltration Over Alternative Protocol,exfiltration,"Linux,macOS,Windows",None
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,exfiltration,"Linux,macOS,Windows",None
T1011.001,Exfiltration Over Bluetooth,exfiltration,"Linux,macOS,Windows",None
T1041,Exfiltration Over C2 Channel,exfiltration,"Linux,macOS,Windows",None
